games,summer,team,gold,silver,bronze,total,year
Munich 1972,1.0,Mongolia,0,1,0,1,1972
Munich 1972,1.0,Argentina,0,1,0,1,1972
Munich 1972,1.0,Tunisia,0,1,0,1,1972
Munich 1972,1.0,Mexico,0,1,0,1,1972
Munich 1972,1.0,Brazil,0,0,2,2,1972
Munich 1972,1.0,Ethiopia,0,0,2,2,1972
Munich 1972,1.0,Spain,0,0,1,1,1972
Munich 1972,1.0,Ghana,0,0,1,1,1972
Munich 1972,1.0,Nigeria,0,0,1,1,1972
Munich 1972,1.0,India,0,0,1,1,1972
Munich 1972,1.0,Niger,0,0,1,1,1972
Munich 1972,1.0,Jamaica,0,0,1,1,1972
Montreal 1976,1.0,Soviet Union,49,41,35,125,1976
Montreal 1976,1.0,German Democratic Republic (Germany),40,25,25,90,1976
Montreal 1976,1.0,United States of America,34,35,25,94,1976
Montreal 1976,1.0,Federal Republic of Germany,10,12,17,39,1976
Montreal 1976,1.0,Japan,9,6,10,25,1976
Montreal 1976,1.0,Poland,7,6,13,26,1976
Montreal 1976,1.0,Bulgaria,6,9,7,22,1976
Montreal 1976,1.0,Cuba,6,4,3,13,1976
Montreal 1976,1.0,Romania,4,9,14,27,1976
Montreal 1976,1.0,Hungary,4,5,13,22,1976
Montreal 1976,1.0,Finland,4,2,0,6,1976
Montreal 1976,1.0,Sweden,4,1,0,5,1976
Montreal 1976,1.0,Great Britain,3,5,5,13,1976
Montreal 1976,1.0,Italy,2,7,4,13,1976
Montreal 1976,1.0,France,2,3,4,9,1976
Montreal 1976,1.0,Yugoslavia,2,3,3,8,1976
Montreal 1976,1.0,Czechoslovakia,2,2,4,8,1976
Montreal 1976,1.0,New Zealand,2,1,1,4,1976
Montreal 1976,1.0,Republic of Korea,1,1,4,6,1976
Montreal 1976,1.0,Switzerland,1,1,2,4,1976
Montreal 1976,1.0,Norway,1,1,0,2,1976
Montreal 1976,1.0,Democratic People's Republic of Korea,1,1,0,2,1976
Montreal 1976,1.0,Jamaica,1,1,0,2,1976
Montreal 1976,1.0,Denmark,1,0,2,3,1976
Montreal 1976,1.0,Mexico,1,0,1,2,1976
Montreal 1976,1.0,Trinidad and Tobago,1,0,0,1,1976
Montreal 1976,1.0,Canada,0,5,6,11,1976
Montreal 1976,1.0,Belgium,0,3,3,6,1976
Montreal 1976,1.0,Netherlands,0,2,3,5,1976
Montreal 1976,1.0,Portugal,0,2,0,2,1976
Montreal 1976,1.0,Spain,0,2,0,2,1976
Montreal 1976,1.0,Australia,0,1,4,5,1976
Montreal 1976,1.0,Islamic Republic of Iran,0,1,1,2,1976
Montreal 1976,1.0,Mongolia,0,1,0,1,1976
Montreal 1976,1.0,Venezuela,0,1,0,1,1976
Montreal 1976,1.0,Brazil,0,0,2,2,1976
Montreal 1976,1.0,Puerto Rico,0,0,1,1,1976
Montreal 1976,1.0,Bermuda,0,0,1,1,1976
Montreal 1976,1.0,Thailand,0,0,1,1,1976
Montreal 1976,1.0,Austria,0,0,1,1,1976
Montreal 1976,1.0,Pakistan,0,0,1,1,1976
Innsbruck 1976,0.0,Soviet Union,13,6,8,27,1976
Innsbruck 1976,0.0,German Democratic Republic (Germany),7,5,7,19,1976
Innsbruck 1976,0.0,United States of America,3,3,4,10,1976
Innsbruck 1976,0.0,Norway,3,3,1,7,1976
Innsbruck 1976,0.0,Federal Republic of Germany,2,5,3,10,1976
Innsbruck 1976,0.0,Finland,2,4,1,7,1976
Innsbruck 1976,0.0,Austria,2,2,2,6,1976
Innsbruck 1976,0.0,Switzerland,1,3,1,5,1976
Innsbruck 1976,0.0,Netherlands,1,2,3,6,1976
Innsbruck 1976,0.0,Italy,1,2,1,4,1976
Innsbruck 1976,0.0,Canada,1,1,1,3,1976
Innsbruck 1976,0.0,Great Britain,1,0,0,1,1976
Innsbruck 1976,0.0,Czechoslovakia,0,1,0,1,1976
Innsbruck 1976,0.0,Sweden,0,0,2,2,1976
Innsbruck 1976,0.0,Liechtenstein,0,0,2,2,1976
Innsbruck 1976,0.0,France,0,0,1,1,1976
Moscow 1980,1.0,Soviet Union,80,69,46,195,1980
Moscow 1980,1.0,German Democratic Republic (Germany),47,37,42,126,1980
Moscow 1980,1.0,Bulgaria,8,16,17,41,1980
Moscow 1980,1.0,Cuba,8,7,5,20,1980
Moscow 1980,1.0,Italy,8,3,4,15,1980
Moscow 1980,1.0,Hungary,7,10,15,32,1980
Moscow 1980,1.0,Romania,6,6,13,25,1980
Moscow 1980,1.0,France,6,5,3,14,1980
Moscow 1980,1.0,Great Britain,5,7,9,21,1980
Moscow 1980,1.0,Poland,3,14,15,32,1980
Moscow 1980,1.0,Sweden,3,3,6,12,1980
Moscow 1980,1.0,Finland,3,1,4,8,1980
Moscow 1980,1.0,Czechoslovakia,2,3,9,14,1980
Moscow 1980,1.0,Yugoslavia,2,3,4,9,1980
Moscow 1980,1.0,Australia,2,2,5,9,1980
Moscow 1980,1.0,Denmark,2,1,2,5,1980
Moscow 1980,1.0,Brazil,2,0,2,4,1980
Moscow 1980,1.0,Ethiopia,2,0,2,4,1980
Moscow 1980,1.0,Switzerland,2,0,0,2,1980
Moscow 1980,1.0,Spain,1,3,2,6,1980
Moscow 1980,1.0,Austria,1,2,1,4,1980
Moscow 1980,1.0,Greece,1,0,2,3,1980
Moscow 1980,1.0,Zimbabwe,1,0,0,1,1980
Moscow 1980,1.0,India,1,0,0,1,1980
Moscow 1980,1.0,Belgium,1,0,0,1,1980
Moscow 1980,1.0,Democratic People's Republic of Korea,0,3,2,5,1980
Moscow 1980,1.0,Mongolia,0,2,2,4,1980
Moscow 1980,1.0,United Republic of Tanzania,0,2,0,2,1980
Moscow 1980,1.0,Mexico,0,1,3,4,1980
Moscow 1980,1.0,Netherlands,0,1,2,3,1980
Moscow 1980,1.0,Ireland,0,1,1,2,1980
Moscow 1980,1.0,Uganda,0,1,0,1,1980
Moscow 1980,1.0,Venezuela,0,1,0,1,1980
Moscow 1980,1.0,Jamaica,0,0,3,3,1980
Moscow 1980,1.0,Guyana,0,0,1,1,1980
Moscow 1980,1.0,Lebanon,0,0,1,1,1980
Lake Placid 1980,0.0,Soviet Union,10,6,6,22,1980
Lake Placid 1980,0.0,German Democratic Republic (Germany),9,7,7,23,1980
Lake Placid 1980,0.0,United States of America,6,4,2,12,1980
Lake Placid 1980,0.0,Austria,3,2,2,7,1980
Lake Placid 1980,0.0,Sweden,3,0,1,4,1980
Lake Placid 1980,0.0,Liechtenstein,2,2,0,4,1980
Lake Placid 1980,0.0,Finland,1,5,3,9,1980
Lake Placid 1980,0.0,Norway,1,3,6,10,1980
Lake Placid 1980,0.0,Netherlands,1,2,1,4,1980
Lake Placid 1980,0.0,Switzerland,1,1,3,5,1980
Lake Placid 1980,0.0,Great Britain,1,0,0,1,1980
Lake Placid 1980,0.0,Federal Republic of Germany,0,2,3,5,1980
Lake Placid 1980,0.0,Italy,0,2,0,2,1980
Lake Placid 1980,0.0,Canada,0,1,1,2,1980
Lake Placid 1980,0.0,Hungary,0,1,0,1,1980
Lake Placid 1980,0.0,Japan,0,1,0,1,1980
Lake Placid 1980,0.0,France,0,0,1,1,1980
Lake Placid 1980,0.0,Czechoslovakia,0,0,1,1,1980
Lake Placid 1980,0.0,Bulgaria,0,0,1,1,1980
Sarajevo 1984,,German Democratic Republic (Germany),9,9,6,24,1984
Sarajevo 1984,,Soviet Union,6,10,9,25,1984
Sarajevo 1984,,United States of America,4,4,0,8,1984
Sarajevo 1984,,Finland,4,3,6,13,1984
Sarajevo 1984,,Sweden,4,2,2,8,1984
Sarajevo 1984,,Norway,3,2,4,9,1984
Sarajevo 1984,,Switzerland,2,2,1,5,1984
Sarajevo 1984,,Federal Republic of Germany,2,1,1,4,1984
Sarajevo 1984,,Canada,2,1,1,4,1984
Sarajevo 1984,,Italy,2,0,0,2,1984
Sarajevo 1984,,Great Britain,1,0,0,1,1984
Sarajevo 1984,,Czechoslovakia,0,2,4,6,1984
Sarajevo 1984,,France,0,1,2,3,1984
Sarajevo 1984,,Yugoslavia,0,1,0,1,1984
Sarajevo 1984,,Japan,0,1,0,1,1984
Sarajevo 1984,,Liechtenstein,0,0,2,2,1984
Sarajevo 1984,,Austria,0,0,1,1,1984
Los Angeles 1984,1.0,United States of America,83,61,30,174,1984
Los Angeles 1984,1.0,Romania,20,16,17,53,1984
Los Angeles 1984,1.0,Federal Republic of Germany,17,19,23,59,1984
Los Angeles 1984,1.0,People's Republic of China,15,8,9,32,1984
Los Angeles 1984,1.0,Italy,14,6,12,32,1984
Los Angeles 1984,1.0,Canada,10,18,16,44,1984
Los Angeles 1984,1.0,Japan,10,8,14,32,1984
Los Angeles 1984,1.0,New Zealand,8,1,2,11,1984
Los Angeles 1984,1.0,Yugoslavia,7,4,7,18,1984
Los Angeles 1984,1.0,Republic of Korea,6,6,7,19,1984
Los Angeles 1984,1.0,Great Britain,5,11,21,37,1984
Los Angeles 1984,1.0,France,5,7,16,28,1984
Los Angeles 1984,1.0,Netherlands,5,2,6,13,1984
Los Angeles 1984,1.0,Australia,4,8,12,24,1984
Los Angeles 1984,1.0,Finland,4,2,6,12,1984
Los Angeles 1984,1.0,Sweden,2,11,6,19,1984
Los Angeles 1984,1.0,Mexico,2,3,1,6,1984
Los Angeles 1984,1.0,Morocco,2,0,0,2,1984
Los Angeles 1984,1.0,Brazil,1,5,2,8,1984
Los Angeles 1984,1.0,Spain,1,2,2,5,1984
Los Angeles 1984,1.0,Belgium,1,1,2,4,1984
Los Angeles 1984,1.0,Austria,1,1,1,3,1984
Los Angeles 1984,1.0,Portugal,1,0,2,3,1984
Los Angeles 1984,1.0,Kenya,1,0,2,3,1984
Los Angeles 1984,1.0,Pakistan,1,0,0,1,1984
Los Angeles 1984,1.0,Switzerland,0,4,4,8,1984
Los Angeles 1984,1.0,Denmark,0,3,3,6,1984
Los Angeles 1984,1.0,Norway,0,1,2,3,1984
Los Angeles 1984,1.0,Jamaica,0,1,2,3,1984
Los Angeles 1984,1.0,Puerto Rico,0,1,1,2,1984
Los Angeles 1984,1.0,Greece,0,1,1,2,1984
Los Angeles 1984,1.0,Nigeria,0,1,1,2,1984
Los Angeles 1984,1.0,Egypt,0,1,0,1,1984
Los Angeles 1984,1.0,Thailand,0,1,0,1,1984
Los Angeles 1984,1.0,Colombia,0,1,0,1,1984
Los Angeles 1984,1.0,Peru,0,1,0,1,1984
Los Angeles 1984,1.0,Ireland,0,1,0,1,1984
Los Angeles 1984,1.0,Syrian Arab Republic,0,1,0,1,1984
Los Angeles 1984,1.0,Côte d'Ivoire,0,1,0,1,1984
Los Angeles 1984,1.0,Turkey,0,0,3,3,1984
Los Angeles 1984,1.0,Venezuela,0,0,3,3,1984
Los Angeles 1984,1.0,Algeria,0,0,2,2,1984
Los Angeles 1984,1.0,Iceland,0,0,1,1,1984
Los Angeles 1984,1.0,Chinese Taipei,0,0,1,1,1984
Los Angeles 1984,1.0,Dominican Republic,0,0,1,1,1984
Los Angeles 1984,1.0,Zambia,0,0,1,1,1984
Los Angeles 1984,1.0,Cameroon,0,0,1,1,1984
Seoul 1988,1.0,Soviet Union,55,31,46,132,1988
Seoul 1988,1.0,German Democratic Republic (Germany),37,35,30,102,1988
Seoul 1988,1.0,United States of America,36,31,27,94,1988
Seoul 1988,1.0,Republic of Korea,12,10,11,33,1988
Seoul 1988,1.0,Federal Republic of Germany,11,14,15,40,1988
Seoul 1988,1.0,Hungary,11,6,6,23,1988
Seoul 1988,1.0,Bulgaria,10,12,13,35,1988
Seoul 1988,1.0,Romania,7,11,6,24,1988
Seoul 1988,1.0,France,6,4,6,16,1988
Seoul 1988,1.0,Italy,6,4,4,14,1988
Seoul 1988,1.0,People's Republic of China,5,11,12,28,1988
Seoul 1988,1.0,Great Britain,5,10,9,24,1988
Seoul 1988,1.0,Kenya,5,2,2,9,1988
Seoul 1988,1.0,Japan,4,3,7,14,1988
Seoul 1988,1.0,Australia,3,6,5,14,1988
Seoul 1988,1.0,Yugoslavia,3,4,5,12,1988
Seoul 1988,1.0,Czechoslovakia,3,3,2,8,1988
Seoul 1988,1.0,New Zealand,3,2,8,13,1988
Seoul 1988,1.0,Canada,3,2,5,10,1988
Seoul 1988,1.0,Poland,2,5,9,16,1988
Seoul 1988,1.0,Norway,2,3,0,5,1988
Seoul 1988,1.0,Netherlands,2,2,5,9,1988
Seoul 1988,1.0,Denmark,2,1,1,4,1988
Seoul 1988,1.0,Brazil,1,2,3,6,1988
Seoul 1988,1.0,Spain,1,1,2,4,1988
Seoul 1988,1.0,Finland,1,1,2,4,1988
Seoul 1988,1.0,Turkey,1,1,0,2,1988
Seoul 1988,1.0,Morocco,1,0,2,3,1988
Seoul 1988,1.0,Suriname,1,0,0,1,1988
Seoul 1988,1.0,Portugal,1,0,0,1,1988
Seoul 1988,1.0,Austria,1,0,0,1,1988
Seoul 1988,1.0,Sweden,0,4,7,11,1988
Seoul 1988,1.0,Switzerland,0,2,2,4,1988
Seoul 1988,1.0,Jamaica,0,2,0,2,1988
Seoul 1988,1.0,Argentina,0,1,1,2,1988
Seoul 1988,1.0,Peru,0,1,0,1,1988
Seoul 1988,1.0,"Virgin Islands, US",0,1,0,1,1988
Seoul 1988,1.0,Senegal,0,1,0,1,1988
Seoul 1988,1.0,Indonesia,0,1,0,1,1988
Seoul 1988,1.0,Costa Rica,0,1,0,1,1988
Seoul 1988,1.0,Islamic Republic of Iran,0,1,0,1,1988
Seoul 1988,1.0,Netherlands Antilles,0,1,0,1,1988
Seoul 1988,1.0,Chile,0,1,0,1,1988
Seoul 1988,1.0,Mexico,0,0,2,2,1988
Seoul 1988,1.0,Belgium,0,0,2,2,1988
Seoul 1988,1.0,Mongolia,0,0,1,1,1988
Seoul 1988,1.0,Philippines,0,0,1,1,1988
Seoul 1988,1.0,Greece,0,0,1,1,1988
Seoul 1988,1.0,Thailand,0,0,1,1,1988
Seoul 1988,1.0,Colombia,0,0,1,1,1988
Seoul 1988,1.0,Djibouti,0,0,1,1,1988
Seoul 1988,1.0,Pakistan,0,0,1,1,1988
Calgary 1988,0.0,Soviet Union,11,9,9,29,1988
Calgary 1988,0.0,German Democratic Republic (Germany),9,10,6,25,1988
Calgary 1988,0.0,Switzerland,5,5,5,15,1988
Calgary 1988,0.0,Finland,4,1,2,7,1988
Calgary 1988,0.0,Sweden,4,0,2,6,1988
Calgary 1988,0.0,Austria,3,5,2,10,1988
Calgary 1988,0.0,Netherlands,3,2,2,7,1988
Calgary 1988,0.0,Federal Republic of Germany,2,4,2,8,1988
Calgary 1988,0.0,United States of America,2,1,3,6,1988
Calgary 1988,0.0,Italy,2,1,2,5,1988
Calgary 1988,0.0,France,1,0,1,2,1988
Calgary 1988,0.0,Norway,0,3,2,5,1988
Calgary 1988,0.0,Canada,0,2,3,5,1988
Calgary 1988,0.0,Yugoslavia,0,2,1,3,1988
Calgary 1988,0.0,Czechoslovakia,0,1,2,3,1988
Calgary 1988,0.0,Japan,0,0,1,1,1988
Calgary 1988,0.0,Liechtenstein,0,0,1,1,1988
Albertville 1992,0.0,Germany,10,10,6,26,1992
Albertville 1992,0.0,Unified Team,9,6,8,23,1992
Albertville 1992,0.0,Norway,9,6,5,20,1992
Albertville 1992,0.0,Austria,6,7,8,21,1992
Albertville 1992,0.0,United States of America,5,4,2,11,1992
Albertville 1992,0.0,Italy,4,6,4,14,1992
Albertville 1992,0.0,France,3,5,1,9,1992
Albertville 1992,0.0,Finland,3,1,3,7,1992
Albertville 1992,0.0,Canada,2,3,2,7,1992
Albertville 1992,0.0,Republic of Korea,2,1,1,4,1992
Albertville 1992,0.0,Japan,1,2,4,7,1992
Albertville 1992,0.0,Netherlands,1,1,2,4,1992
Albertville 1992,0.0,Sweden,1,0,3,4,1992
Albertville 1992,0.0,Switzerland,1,0,2,3,1992
Albertville 1992,0.0,People's Republic of China,0,3,0,3,1992
Albertville 1992,0.0,Luxembourg,0,2,0,2,1992
Albertville 1992,0.0,New Zealand,0,1,0,1,1992
Albertville 1992,0.0,Czechoslovakia,0,0,3,3,1992
Albertville 1992,0.0,Spain,0,0,1,1,1992
Albertville 1992,0.0,Democratic People's Republic of Korea,0,0,1,1,1992
Barcelona 1992,1.0,Unified Team,45,38,29,112,1992
Barcelona 1992,1.0,United States of America,37,34,37,108,1992
Barcelona 1992,1.0,Germany,33,21,28,82,1992
Barcelona 1992,1.0,People's Republic of China,16,22,16,54,1992
Barcelona 1992,1.0,Cuba,14,6,11,31,1992
Barcelona 1992,1.0,Spain,13,7,2,22,1992
Barcelona 1992,1.0,Republic of Korea,12,5,12,29,1992
Barcelona 1992,1.0,Hungary,11,12,7,30,1992
Barcelona 1992,1.0,France,8,5,16,29,1992
Barcelona 1992,1.0,Australia,7,9,11,27,1992
Barcelona 1992,1.0,Canada,7,4,7,18,1992
Barcelona 1992,1.0,Italy,6,5,8,19,1992
Barcelona 1992,1.0,Great Britain,5,3,12,20,1992
Barcelona 1992,1.0,Romania,4,6,8,18,1992
Barcelona 1992,1.0,Czechoslovakia,4,2,1,7,1992
Barcelona 1992,1.0,Democratic People's Republic of Korea,4,0,5,9,1992
Barcelona 1992,1.0,Japan,3,8,11,22,1992
Barcelona 1992,1.0,Bulgaria,3,7,6,16,1992
Barcelona 1992,1.0,Poland,3,6,10,19,1992
Barcelona 1992,1.0,Netherlands,2,6,7,15,1992
Barcelona 1992,1.0,Kenya,2,4,2,8,1992
Barcelona 1992,1.0,Norway,2,4,1,7,1992
Barcelona 1992,1.0,Turkey,2,2,2,6,1992
Barcelona 1992,1.0,Indonesia,2,2,1,5,1992
Barcelona 1992,1.0,Brazil,2,1,0,3,1992
Barcelona 1992,1.0,Greece,2,0,0,2,1992
Barcelona 1992,1.0,Sweden,1,7,4,12,1992
Barcelona 1992,1.0,New Zealand,1,4,5,10,1992
Barcelona 1992,1.0,Finland,1,2,2,5,1992
Barcelona 1992,1.0,Denmark,1,1,4,6,1992
Barcelona 1992,1.0,Morocco,1,1,1,3,1992
Barcelona 1992,1.0,Ireland,1,1,0,2,1992
Barcelona 1992,1.0,Ethiopia,1,0,2,3,1992
Barcelona 1992,1.0,Algeria,1,0,1,2,1992
Barcelona 1992,1.0,Estonia,1,0,1,2,1992
Barcelona 1992,1.0,Lithuania,1,0,1,2,1992
Barcelona 1992,1.0,Switzerland,1,0,0,1,1992
Barcelona 1992,1.0,Jamaica,0,3,1,4,1992
Barcelona 1992,1.0,Nigeria,0,3,1,4,1992
Barcelona 1992,1.0,Latvia,0,2,1,3,1992
Barcelona 1992,1.0,South Africa,0,2,0,2,1992
Barcelona 1992,1.0,Austria,0,2,0,2,1992
Barcelona 1992,1.0,Namibia,0,2,0,2,1992
Barcelona 1992,1.0,Belgium,0,1,2,3,1992
Barcelona 1992,1.0,Independent Olympic Athletes,0,1,2,3,1992
Barcelona 1992,1.0,Islamic Republic of Iran,0,1,2,3,1992
Barcelona 1992,1.0,Croatia,0,1,2,3,1992
Barcelona 1992,1.0,Israel,0,1,1,2,1992
Barcelona 1992,1.0,Chinese Taipei,0,1,0,1,1992
Barcelona 1992,1.0,Mexico,0,1,0,1,1992
Barcelona 1992,1.0,Peru,0,1,0,1,1992
Barcelona 1992,1.0,Mongolia,0,0,2,2,1992
Barcelona 1992,1.0,Slovenia,0,0,2,2,1992
Barcelona 1992,1.0,Bahamas,0,0,1,1,1992
Barcelona 1992,1.0,Argentina,0,0,1,1,1992
Barcelona 1992,1.0,Philippines,0,0,1,1,1992
Barcelona 1992,1.0,Qatar,0,0,1,1,1992
Barcelona 1992,1.0,Colombia,0,0,1,1,1992
Barcelona 1992,1.0,Ghana,0,0,1,1,1992
Barcelona 1992,1.0,Puerto Rico,0,0,1,1,1992
Barcelona 1992,1.0,Malaysia,0,0,1,1,1992
Barcelona 1992,1.0,Thailand,0,0,1,1,1992
Barcelona 1992,1.0,Suriname,0,0,1,1,1992
Barcelona 1992,1.0,Pakistan,0,0,1,1,1992
Lillehammer 1994,0.0,Russian Federation,11,8,4,23,1994
Lillehammer 1994,0.0,Norway,10,11,5,26,1994
Lillehammer 1994,0.0,Germany,9,7,8,24,1994
Lillehammer 1994,0.0,Italy,7,5,8,20,1994
Lillehammer 1994,0.0,United States of America,6,5,2,13,1994
Lillehammer 1994,0.0,Republic of Korea,4,1,1,6,1994
Lillehammer 1994,0.0,Canada,3,6,4,13,1994
Lillehammer 1994,0.0,Switzerland,3,4,2,9,1994
Lillehammer 1994,0.0,Austria,2,3,4,9,1994
Lillehammer 1994,0.0,Sweden,2,1,0,3,1994
Lillehammer 1994,0.0,Japan,1,2,2,5,1994
Lillehammer 1994,0.0,Kazakhstan,1,2,0,3,1994
Lillehammer 1994,0.0,Ukraine,1,0,1,2,1994
Lillehammer 1994,0.0,Uzbekistan,1,0,0,1,1994
Lillehammer 1994,0.0,Belarus,0,2,0,2,1994
Lillehammer 1994,0.0,Finland,0,1,5,6,1994
Lillehammer 1994,0.0,France,0,1,4,5,1994
Lillehammer 1994,0.0,Netherlands,0,1,3,4,1994
Lillehammer 1994,0.0,People's Republic of China,0,1,2,3,1994
Lillehammer 1994,0.0,Slovenia,0,0,3,3,1994
Lillehammer 1994,0.0,Great Britain,0,0,2,2,1994
Lillehammer 1994,0.0,Australia,0,0,1,1,1994
Atlanta 1996,1.0,United States of America,44,32,25,101,1996
Atlanta 1996,1.0,Russian Federation,26,21,16,63,1996
Atlanta 1996,1.0,Germany,20,18,27,65,1996
Atlanta 1996,1.0,People's Republic of China,16,22,12,50,1996
Atlanta 1996,1.0,France,15,7,15,37,1996
Atlanta 1996,1.0,Italy,13,10,12,35,1996
Atlanta 1996,1.0,Australia,9,9,23,41,1996
Atlanta 1996,1.0,Cuba,9,8,8,25,1996
Atlanta 1996,1.0,Ukraine,9,2,12,23,1996
Atlanta 1996,1.0,Republic of Korea,7,15,5,27,1996
Atlanta 1996,1.0,Poland,7,5,5,17,1996
Atlanta 1996,1.0,Hungary,7,4,10,21,1996
Atlanta 1996,1.0,Spain,5,6,6,17,1996
Atlanta 1996,1.0,Romania,4,7,9,20,1996
Atlanta 1996,1.0,Netherlands,4,5,10,19,1996
Atlanta 1996,1.0,Greece,4,4,0,8,1996
Atlanta 1996,1.0,Czech Republic,4,3,4,11,1996
Atlanta 1996,1.0,Switzerland,4,3,0,7,1996
Atlanta 1996,1.0,Denmark,4,1,1,6,1996
Atlanta 1996,1.0,Turkey,4,1,1,6,1996
Atlanta 1996,1.0,Canada,3,11,8,22,1996
Atlanta 1996,1.0,Bulgaria,3,7,5,15,1996
Atlanta 1996,1.0,Japan,3,6,5,14,1996
Atlanta 1996,1.0,Kazakhstan,3,4,4,11,1996
Atlanta 1996,1.0,Brazil,3,3,9,15,1996
Atlanta 1996,1.0,New Zealand,3,2,1,6,1996
Atlanta 1996,1.0,South Africa,3,1,1,5,1996
Atlanta 1996,1.0,Ireland,3,0,1,4,1996
Atlanta 1996,1.0,Sweden,2,4,2,8,1996
Atlanta 1996,1.0,Norway,2,2,3,7,1996
Atlanta 1996,1.0,Belgium,2,2,2,6,1996
Atlanta 1996,1.0,Nigeria,2,1,3,6,1996
Atlanta 1996,1.0,Democratic People's Republic of Korea,2,1,2,5,1996
Atlanta 1996,1.0,Algeria,2,0,1,3,1996
Atlanta 1996,1.0,Ethiopia,2,0,1,3,1996
Atlanta 1996,1.0,Great Britain,1,8,6,15,1996
Atlanta 1996,1.0,Belarus,1,6,8,15,1996
Atlanta 1996,1.0,Kenya,1,4,3,8,1996
Atlanta 1996,1.0,Jamaica,1,3,2,6,1996
Atlanta 1996,1.0,Finland,1,2,1,4,1996
Atlanta 1996,1.0,Serbia and Montenegro,1,1,2,4,1996
Atlanta 1996,1.0,Indonesia,1,1,2,4,1996
Atlanta 1996,1.0,Slovakia,1,1,1,3,1996
Atlanta 1996,1.0,Islamic Republic of Iran,1,1,1,3,1996
Atlanta 1996,1.0,Armenia,1,1,0,2,1996
Atlanta 1996,1.0,Croatia,1,1,0,2,1996
Atlanta 1996,1.0,Thailand,1,0,1,2,1996
Atlanta 1996,1.0,Portugal,1,0,1,2,1996
Atlanta 1996,1.0,Burundi,1,0,0,1,1996
Atlanta 1996,1.0,Syrian Arab Republic,1,0,0,1,1996
Atlanta 1996,1.0,Ecuador,1,0,0,1,1996
Atlanta 1996,1.0,"Hong Kong, China",1,0,0,1,1996
Atlanta 1996,1.0,Costa Rica,1,0,0,1,1996
Atlanta 1996,1.0,Argentina,0,2,1,3,1996
Atlanta 1996,1.0,Slovenia,0,2,0,2,1996
Atlanta 1996,1.0,Namibia,0,2,0,2,1996
Atlanta 1996,1.0,Austria,0,1,2,3,1996
Atlanta 1996,1.0,Malaysia,0,1,1,2,1996
Atlanta 1996,1.0,Republic of Moldova,0,1,1,2,1996
Atlanta 1996,1.0,Uzbekistan,0,1,1,2,1996
Atlanta 1996,1.0,Bahamas,0,1,0,1,1996
Atlanta 1996,1.0,Chinese Taipei,0,1,0,1,1996
Atlanta 1996,1.0,Zambia,0,1,0,1,1996
Atlanta 1996,1.0,Tonga,0,1,0,1,1996
Atlanta 1996,1.0,Latvia,0,1,0,1,1996
Atlanta 1996,1.0,Philippines,0,1,0,1,1996
Atlanta 1996,1.0,Azerbaijan,0,1,0,1,1996
Atlanta 1996,1.0,Georgia,0,0,2,2,1996
Atlanta 1996,1.0,Trinidad and Tobago,0,0,2,2,1996
Atlanta 1996,1.0,Morocco,0,0,2,2,1996
Atlanta 1996,1.0,Mexico,0,0,1,1,1996
Atlanta 1996,1.0,Mozambique,0,0,1,1,1996
Atlanta 1996,1.0,Mongolia,0,0,1,1,1996
Atlanta 1996,1.0,Tunisia,0,0,1,1,1996
Atlanta 1996,1.0,India,0,0,1,1,1996
Atlanta 1996,1.0,Uganda,0,0,1,1,1996
Atlanta 1996,1.0,Lithuania,0,0,1,1,1996
Atlanta 1996,1.0,Israel,0,0,1,1,1996
Atlanta 1996,1.0,Puerto Rico,0,0,1,1,1996
Nagano 1998,0.0,Germany,12,9,8,29,1998
Nagano 1998,0.0,Norway,10,10,5,25,1998
Nagano 1998,0.0,Russian Federation,9,6,3,18,1998
Nagano 1998,0.0,Canada,6,5,4,15,1998
Nagano 1998,0.0,United States of America,6,3,4,13,1998
Nagano 1998,0.0,Netherlands,5,4,2,11,1998
Nagano 1998,0.0,Japan,5,1,4,10,1998
Nagano 1998,0.0,Austria,3,5,9,17,1998
Nagano 1998,0.0,Republic of Korea,3,1,2,6,1998
Nagano 1998,0.0,Italy,2,6,2,10,1998
Nagano 1998,0.0,Finland,2,4,6,12,1998
Nagano 1998,0.0,Switzerland,2,2,3,7,1998
Nagano 1998,0.0,France,2,1,5,8,1998
Nagano 1998,0.0,Czech Republic,1,1,1,3,1998
Nagano 1998,0.0,Bulgaria,1,0,0,1,1998
Nagano 1998,0.0,People's Republic of China,0,6,2,8,1998
Nagano 1998,0.0,Sweden,0,2,1,3,1998
Nagano 1998,0.0,Denmark,0,1,0,1,1998
Nagano 1998,0.0,Ukraine,0,1,0,1,1998
Nagano 1998,0.0,Kazakhstan,0,0,2,2,1998
Nagano 1998,0.0,Belarus,0,0,2,2,1998
Nagano 1998,0.0,Australia,0,0,1,1,1998
Nagano 1998,0.0,Great Britain,0,0,1,1,1998
Nagano 1998,0.0,Belgium,0,0,1,1,1998
Sydney 2000,1.0,United States of America,37,24,32,93,2000
Sydney 2000,1.0,Russian Federation,32,28,29,89,2000
Sydney 2000,1.0,People's Republic of China,28,16,14,58,2000
Sydney 2000,1.0,Australia,16,25,17,58,2000
Sydney 2000,1.0,Germany,13,17,26,56,2000
Sydney 2000,1.0,France,13,14,11,38,2000
Sydney 2000,1.0,Italy,13,8,13,34,2000
Sydney 2000,1.0,Netherlands,12,9,4,25,2000
