games,summer,team,gold,silver,bronze,total,year,games_team
Helsinki 1952,1,Netherlands,0,5,0,5,1952,Helsinki 1952 | Netherlands
Helsinki 1952,1,Norway,3,2,0,5,1952,Helsinki 1952 | Norway
Oslo 1952,0,United States of America,4,6,1,11,1952,Oslo 1952 | United States of America
Oslo 1952,0,Switzerland,0,0,2,2,1952,Oslo 1952 | Switzerland
Helsinki 1952,1,Luxembourg,1,0,0,1,1952,Helsinki 1952 | Luxembourg
Helsinki 1952,1,Yugoslavia,1,2,0,3,1952,Helsinki 1952 | Yugoslavia
Helsinki 1952,1,Canada,1,2,0,3,1952,Helsinki 1952 | Canada
Oslo 1952,0,Italy,1,0,1,2,1952,Oslo 1952 | Italy
Helsinki 1952,1,South Africa,2,4,4,10,1952,Helsinki 1952 | South Africa
Helsinki 1952,1,Republic of Korea,0,0,2,2,1952,Helsinki 1952 | Republic of Korea
Helsinki 1952,1,Chile,0,2,0,2,1952,Helsinki 1952 | Chile
Helsinki 1952,1,Denmark,2,1,3,6,1952,Helsinki 1952 | Denmark
Helsinki 1952,1,Belgium,2,2,0,4,1952,Helsinki 1952 | Belgium
Oslo 1952,0,Netherlands,0,3,0,3,1952,Oslo 1952 | Netherlands
Helsinki 1952,1,Australia,6,2,3,11,1952,Helsinki 1952 | Australia
Oslo 1952,0,Germany,3,2,2,7,1952,Oslo 1952 | Germany
Helsinki 1952,1,Austria,0,1,1,2,1952,Helsinki 1952 | Austria
Helsinki 1952,1,Lebanon,0,1,1,2,1952,Helsinki 1952 | Lebanon
Helsinki 1952,1,Trinidad and Tobago,0,0,2,2,1952,Helsinki 1952 | Trinidad and Tobago
Helsinki 1952,1,Romania,1,1,2,4,1952,Helsinki 1952 | Romania
Helsinki 1952,1,Islamic Republic of Iran,0,3,4,7,1952,Helsinki 1952 | Islamic Republic of Iran
Oslo 1952,0,Austria,2,4,2,8,1952,Oslo 1952 | Austria
Helsinki 1952,1,India,1,0,1,2,1952,Helsinki 1952 | India
Oslo 1952,0,Sweden,0,0,4,4,1952,Oslo 1952 | Sweden
Oslo 1952,0,Hungary,0,0,1,1,1952,Oslo 1952 | Hungary
Helsinki 1952,1,Germany,0,7,17,24,1952,Helsinki 1952 | Germany
Helsinki 1952,1,Bulgaria,0,0,1,1,1952,Helsinki 1952 | Bulgaria
Helsinki 1952,1,Hungary,16,10,16,42,1952,Helsinki 1952 | Hungary
Helsinki 1952,1,Portugal,0,0,1,1,1952,Helsinki 1952 | Portugal
Helsinki 1952,1,Venezuela,0,0,1,1,1952,Helsinki 1952 | Venezuela
Helsinki 1952,1,France,6,6,6,18,1952,Helsinki 1952 | France
Helsinki 1952,1,Italy,8,9,4,21,1952,Helsinki 1952 | Italy
Helsinki 1952,1,Sweden,12,13,10,35,1952,Helsinki 1952 | Sweden
Oslo 1952,0,France,0,0,1,1,1952,Oslo 1952 | France
Helsinki 1952,1,United States of America,40,19,17,76,1952,Helsinki 1952 | United States of America
Helsinki 1952,1,Soviet Union,22,30,19,71,1952,Helsinki 1952 | Soviet Union
Helsinki 1952,1,Finland,6,3,13,22,1952,Helsinki 1952 | Finland
Helsinki 1952,1,Egypt,0,0,1,1,1952,Helsinki 1952 | Egypt
Oslo 1952,0,Norway,7,3,6,16,1952,Oslo 1952 | Norway
Melbourne 1956,1,Poland,1,4,4,9,1956,Melbourne 1956 | Poland
Melbourne 1956,1,Bulgaria,1,3,1,5,1956,Melbourne 1956 | Bulgaria
Melbourne 1956,1,Sweden,5,5,6,16,1956,Melbourne 1956 | Sweden
Melbourne 1956,1,Denmark,1,1,1,3,1956,Melbourne 1956 | Denmark
Cortina D'Ampezzo 1956,0,Austria,4,3,4,11,1956,Cortina D'Ampezzo 1956 | Austria
Cortina D'Ampezzo 1956,0,Italy,1,2,0,3,1956,Cortina D'Ampezzo 1956 | Italy
Melbourne 1956,1,Romania,5,3,5,13,1956,Melbourne 1956 | Romania
Cortina D'Ampezzo 1956,0,Soviet Union,7,3,6,16,1956,Cortina D'Ampezzo 1956 | Soviet Union
Melbourne 1956,1,United States of America,32,25,17,74,1956,Melbourne 1956 | United States of America
Melbourne 1956,1,Canada,2,1,2,5,1956,Melbourne 1956 | Canada
Melbourne 1956,1,Great Britain,5,7,9,21,1956,Melbourne 1956 | Great Britain
Cortina D'Ampezzo 1956,0,Canada,0,1,2,3,1956,Cortina D'Ampezzo 1956 | Canada
Melbourne 1956,1,Brazil,1,0,0,1,1956,Melbourne 1956 | Brazil
Melbourne 1956,1,India,1,0,0,1,1956,Melbourne 1956 | India
Melbourne 1956,1,Yugoslavia,0,3,0,3,1956,Melbourne 1956 | Yugoslavia
Cortina D'Ampezzo 1956,0,Norway,2,1,1,4,1956,Cortina D'Ampezzo 1956 | Norway
Melbourne 1956,1,Ireland,1,1,3,5,1956,Melbourne 1956 | Ireland
Melbourne 1956,1,Australia,13,8,14,35,1956,Melbourne 1956 | Australia
Cortina D'Ampezzo 1956,0,Sweden,2,4,4,10,1956,Cortina D'Ampezzo 1956 | Sweden
Melbourne 1956,1,South Africa,0,0,4,4,1956,Melbourne 1956 | South Africa
Melbourne 1956,1,Japan,4,10,5,19,1956,Melbourne 1956 | Japan
Melbourne 1956,1,Norway,1,0,2,3,1956,Melbourne 1956 | Norway
Cortina D'Ampezzo 1956,0,Hungary,0,0,1,1,1956,Cortina D'Ampezzo 1956 | Hungary
Melbourne 1956,1,Soviet Union,37,29,32,98,1956,Melbourne 1956 | Soviet Union
Melbourne 1956,1,New Zealand,2,0,0,2,1956,Melbourne 1956 | New Zealand
Melbourne 1956,1,Germany,4,10,6,20,1956,Melbourne 1956 | Germany
Melbourne 1956,1,Islamic Republic of Iran,2,2,1,5,1956,Melbourne 1956 | Islamic Republic of Iran
Melbourne 1956,1,Austria,0,0,2,2,1956,Melbourne 1956 | Austria
Melbourne 1956,1,Italy,8,6,8,22,1956,Melbourne 1956 | Italy
Melbourne 1956,1,Chile,0,2,2,4,1956,Melbourne 1956 | Chile
Melbourne 1956,1,Argentina,0,1,1,2,1956,Melbourne 1956 | Argentina
Cortina D'Ampezzo 1956,0,United States of America,2,3,2,7,1956,Cortina D'Ampezzo 1956 | United States of America
Melbourne 1956,1,Finland,3,1,11,15,1956,Melbourne 1956 | Finland
Melbourne 1956,1,Hungary,9,10,7,26,1956,Melbourne 1956 | Hungary
Melbourne 1956,1,Greece,0,0,1,1,1956,Melbourne 1956 | Greece
Melbourne 1956,1,Uruguay,0,0,1,1,1956,Melbourne 1956 | Uruguay
Melbourne 1956,1,Bahamas,0,0,1,1,1956,Melbourne 1956 | Bahamas
Melbourne 1956,1,Turkey,3,2,2,7,1956,Melbourne 1956 | Turkey
Melbourne 1956,1,France,4,4,6,14,1956,Melbourne 1956 | France
Cortina D'Ampezzo 1956,0,Finland,3,3,1,7,1956,Cortina D'Ampezzo 1956 | Finland
Melbourne 1956,1,Republic of Korea,0,1,1,2,1956,Melbourne 1956 | Republic of Korea
Cortina D'Ampezzo 1956,0,Poland,0,0,1,1,1956,Cortina D'Ampezzo 1956 | Poland
Cortina D'Ampezzo 1956,0,Japan,0,1,0,1,1956,Cortina D'Ampezzo 1956 | Japan
Cortina D'Ampezzo 1956,0,Switzerland,3,2,1,6,1956,Cortina D'Ampezzo 1956 | Switzerland
Melbourne 1956,1,Czechoslovakia,1,4,1,6,1956,Melbourne 1956 | Czechoslovakia
Cortina D'Ampezzo 1956,0,Germany,1,0,1,2,1956,Cortina D'Ampezzo 1956 | Germany
Melbourne 1956,1,Mexico,1,0,1,2,1956,Melbourne 1956 | Mexico
Melbourne 1956,1,Iceland,0,1,0,1,1956,Melbourne 1956 | Iceland
Melbourne 1956,1,Pakistan,0,1,0,1,1956,Melbourne 1956 | Pakistan
Melbourne 1956,1,Belgium,0,2,0,2,1956,Melbourne 1956 | Belgium
Rome 1960,1,Spain,0,0,1,1,1960,Rome 1960 | Spain
Rome 1960,1,Turkey,7,2,0,9,1960,Rome 1960 | Turkey
Rome 1960,1,Iraq,0,0,1,1,1960,Rome 1960 | Iraq
Rome 1960,1,France,0,2,3,5,1960,Rome 1960 | France
Squaw Valley 1960,0,Norway,3,3,0,6,1960,Squaw Valley 1960 | Norway
Rome 1960,1,Norway,1,0,0,1,1960,Rome 1960 | Norway
Rome 1960,1,Italy,13,10,13,36,1960,Rome 1960 | Italy
Rome 1960,1,Romania,3,1,6,10,1960,Rome 1960 | Romania
Rome 1960,1,Ethiopia,1,0,0,1,1960,Rome 1960 | Ethiopia
Rome 1960,1,Finland,1,1,3,5,1960,Rome 1960 | Finland
Rome 1960,1,Greece,1,0,0,1,1960,Rome 1960 | Greece
Squaw Valley 1960,0,United States of America,3,4,3,10,1960,Squaw Valley 1960 | United States of America
Rome 1960,1,Bulgaria,1,3,3,7,1960,Rome 1960 | Bulgaria
Rome 1960,1,Japan,4,7,7,18,1960,Rome 1960 | Japan
Rome 1960,1,Sweden,1,2,3,6,1960,Rome 1960 | Sweden
Rome 1960,1,Great Britain,2,6,12,20,1960,Rome 1960 | Great Britain
Squaw Valley 1960,0,Poland,0,1,1,2,1960,Squaw Valley 1960 | Poland
Squaw Valley 1960,0,Austria,1,2,3,6,1960,Squaw Valley 1960 | Austria
Rome 1960,1,Brazil,0,0,2,2,1960,Rome 1960 | Brazil
Rome 1960,1,West Indies Federation,0,0,2,2,1960,Rome 1960 | West Indies Federation
Rome 1960,1,Czechoslovakia,3,2,3,8,1960,Rome 1960 | Czechoslovakia
Rome 1960,1,Australia,8,8,6,22,1960,Rome 1960 | Australia
Rome 1960,1,Austria,1,1,0,2,1960,Rome 1960 | Austria
Rome 1960,1,Yugoslavia,1,1,0,2,1960,Rome 1960 | Yugoslavia
Squaw Valley 1960,0,Germany,4,3,1,8,1960,Squaw Valley 1960 | Germany
Rome 1960,1,Switzerland,0,3,3,6,1960,Rome 1960 | Switzerland
Rome 1960,1,Pakistan,1,0,1,2,1960,Rome 1960 | Pakistan
Rome 1960,1,Denmark,2,3,1,6,1960,Rome 1960 | Denmark
Squaw Valley 1960,0,Soviet Union,7,5,9,21,1960,Squaw Valley 1960 | Soviet Union
Squaw Valley 1960,0,Sweden,3,2,2,7,1960,Squaw Valley 1960 | Sweden
Rome 1960,1,Hungary,6,8,7,21,1960,Rome 1960 | Hungary
Rome 1960,1,Venezuela,0,0,1,1,1960,Rome 1960 | Venezuela
Rome 1960,1,Poland,4,6,11,21,1960,Rome 1960 | Poland
Rome 1960,1,Argentina,0,1,1,2,1960,Rome 1960 | Argentina
Rome 1960,1,United Arab Republic,0,1,1,2,1960,Rome 1960 | United Arab Republic
Squaw Valley 1960,0,Netherlands,0,1,1,2,1960,Squaw Valley 1960 | Netherlands
Squaw Valley 1960,0,Finland,2,3,3,8,1960,Squaw Valley 1960 | Finland
Squaw Valley 1960,0,Switzerland,2,0,0,2,1960,Squaw Valley 1960 | Switzerland
Rome 1960,1,Mexico,0,0,1,1,1960,Rome 1960 | Mexico
Rome 1960,1,South Africa,0,1,2,3,1960,Rome 1960 | South Africa
Squaw Valley 1960,0,Italy,0,0,1,1,1960,Squaw Valley 1960 | Italy
Rome 1960,1,Morocco,0,1,0,1,1960,Rome 1960 | Morocco
Squaw Valley 1960,0,Czechoslovakia,0,1,0,1,1960,Squaw Valley 1960 | Czechoslovakia
Rome 1960,1,Chinese Taipei,0,1,0,1,1960,Rome 1960 | Chinese Taipei
Rome 1960,1,New Zealand,2,0,1,3,1960,Rome 1960 | New Zealand
Rome 1960,1,Ghana,0,1,0,1,1960,Rome 1960 | Ghana
Rome 1960,1,Singapore,0,1,0,1,1960,Rome 1960 | Singapore
Rome 1960,1,Netherlands,0,1,2,3,1960,Rome 1960 | Netherlands
Rome 1960,1,Islamic Republic of Iran,0,1,3,4,1960,Rome 1960 | Islamic Republic of Iran
Rome 1960,1,Portugal,0,1,0,1,1960,Rome 1960 | Portugal
Rome 1960,1,India,0,1,0,1,1960,Rome 1960 | India
Rome 1960,1,Belgium,0,2,2,4,1960,Rome 1960 | Belgium
Rome 1960,1,Canada,0,1,0,1,1960,Rome 1960 | Canada
Rome 1960,1,Germany,12,19,11,42,1960,Rome 1960 | Germany
Rome 1960,1,Soviet Union,43,29,31,103,1960,Rome 1960 | Soviet Union
Squaw Valley 1960,0,Canada,2,1,1,4,1960,Squaw Valley 1960 | Canada
Rome 1960,1,United States of America,34,21,16,71,1960,Rome 1960 | United States of America
Squaw Valley 1960,0,France,1,0,2,3,1960,Squaw Valley 1960 | France
Tokyo 1964,1,Romania,2,4,6,12,1964,Tokyo 1964 | Romania
Tokyo 1964,1,Denmark,2,1,3,6,1964,Tokyo 1964 | Denmark
Innsbruck 1964,0,Canada,1,1,1,3,1964,Innsbruck 1964 | Canada
Tokyo 1964,1,Netherlands,2,4,4,10,1964,Tokyo 1964 | Netherlands
Innsbruck 1964,0,Netherlands,1,1,0,2,1964,Innsbruck 1964 | Netherlands
Innsbruck 1964,0,Czechoslovakia,0,0,1,1,1964,Innsbruck 1964 | Czechoslovakia
Tokyo 1964,1,United States of America,36,26,28,90,1964,Tokyo 1964 | United States of America
Tokyo 1964,1,Nigeria,0,0,1,1,1964,Tokyo 1964 | Nigeria
Tokyo 1964,1,Mexico,0,0,1,1,1964,Tokyo 1964 | Mexico
Tokyo 1964,1,Czechoslovakia,5,6,3,14,1964,Tokyo 1964 | Czechoslovakia
Tokyo 1964,1,Switzerland,1,2,1,4,1964,Tokyo 1964 | Switzerland
Tokyo 1964,1,Yugoslavia,2,1,2,5,1964,Tokyo 1964 | Yugoslavia
Tokyo 1964,1,Belgium,2,0,1,3,1964,Tokyo 1964 | Belgium
Tokyo 1964,1,Tunisia,0,1,1,2,1964,Tokyo 1964 | Tunisia
Innsbruck 1964,0,Austria,4,5,3,12,1964,Innsbruck 1964 | Austria
Innsbruck 1964,0,Germany,3,3,3,9,1964,Innsbruck 1964 | Germany
Tokyo 1964,1,Finland,3,0,2,5,1964,Tokyo 1964 | Finland
Tokyo 1964,1,New Zealand,3,0,2,5,1964,Tokyo 1964 | New Zealand
Tokyo 1964,1,Soviet Union,30,31,35,96,1964,Tokyo 1964 | Soviet Union
Innsbruck 1964,0,Sweden,3,3,1,7,1964,Innsbruck 1964 | Sweden
Tokyo 1964,1,Turkey,2,3,1,6,1964,Tokyo 1964 | Turkey
Tokyo 1964,1,Kenya,0,0,1,1,1964,Tokyo 1964 | Kenya
Innsbruck 1964,0,France,3,4,0,7,1964,Innsbruck 1964 | France
Tokyo 1964,1,Uruguay,0,0,1,1,1964,Tokyo 1964 | Uruguay
Innsbruck 1964,0,Democratic People's Republic of Korea,0,1,0,1,1964,Innsbruck 1964 | Democratic People's Republic of Korea
Tokyo 1964,1,Canada,1,2,1,4,1964,Tokyo 1964 | Canada
Innsbruck 1964,0,Norway,3,6,6,15,1964,Innsbruck 1964 | Norway
Tokyo 1964,1,Ethiopia,1,0,0,1,1964,Tokyo 1964 | Ethiopia
Tokyo 1964,1,Brazil,0,0,1,1,1964,Tokyo 1964 | Brazil
Tokyo 1964,1,Islamic Republic of Iran,0,0,2,2,1964,Tokyo 1964 | Islamic Republic of Iran
Tokyo 1964,1,Japan,16,5,8,29,1964,Tokyo 1964 | Japan
Innsbruck 1964,0,Great Britain,1,0,0,1,1964,Innsbruck 1964 | Great Britain
Tokyo 1964,1,Hungary,10,7,5,22,1964,Tokyo 1964 | Hungary
Tokyo 1964,1,France,1,8,6,15,1964,Tokyo 1964 | France
Tokyo 1964,1,Argentina,0,1,0,1,1964,Tokyo 1964 | Argentina
Tokyo 1964,1,Sweden,2,2,4,8,1964,Tokyo 1964 | Sweden
Tokyo 1964,1,Republic of Korea,0,2,1,3,1964,Tokyo 1964 | Republic of Korea
Tokyo 1964,1,Italy,10,10,7,27,1964,Tokyo 1964 | Italy
Tokyo 1964,1,Bahamas,1,0,0,1,1964,Tokyo 1964 | Bahamas
Tokyo 1964,1,Pakistan,0,1,0,1,1964,Tokyo 1964 | Pakistan
Tokyo 1964,1,Poland,7,6,10,23,1964,Tokyo 1964 | Poland
Innsbruck 1964,0,United States of America,1,2,4,7,1964,Innsbruck 1964 | United States of America
Tokyo 1964,1,Bulgaria,3,5,2,10,1964,Tokyo 1964 | Bulgaria
Tokyo 1964,1,Philippines,0,1,0,1,1964,Tokyo 1964 | Philippines
Tokyo 1964,1,Trinidad and Tobago,0,1,2,3,1964,Tokyo 1964 | Trinidad and Tobago
Tokyo 1964,1,Ireland,0,0,1,1,1964,Tokyo 1964 | Ireland
Tokyo 1964,1,Great Britain,4,12,2,18,1964,Tokyo 1964 | Great Britain
Tokyo 1964,1,Ghana,0,0,1,1,1964,Tokyo 1964 | Ghana
Innsbruck 1964,0,Finland,3,4,3,10,1964,Innsbruck 1964 | Finland
Tokyo 1964,1,Australia,6,2,10,18,1964,Tokyo 1964 | Australia
Innsbruck 1964,0,Soviet Union,11,8,6,25,1964,Innsbruck 1964 | Soviet Union
Innsbruck 1964,0,Italy,0,1,3,4,1964,Innsbruck 1964 | Italy
Tokyo 1964,1,Germany,10,22,18,50,1964,Tokyo 1964 | Germany
Tokyo 1964,1,Cuba,0,1,0,1,1964,Tokyo 1964 | Cuba
Tokyo 1964,1,India,1,0,0,1,1964,Tokyo 1964 | India
Mexico City 1968,1,Chinese Taipei,0,0,1,1,1968,Mexico City 1968 | Chinese Taipei
Mexico City 1968,1,Cuba,0,4,0,4,1968,Mexico City 1968 | Cuba
Grenoble 1968,0,Canada,1,1,1,3,1968,Grenoble 1968 | Canada
Mexico City 1968,1,Great Britain,5,5,3,13,1968,Mexico City 1968 | Great Britain
Mexico City 1968,1,Tunisia,1,0,1,2,1968,Mexico City 1968 | Tunisia
Mexico City 1968,1,Hungary,10,10,12,32,1968,Mexico City 1968 | Hungary
Mexico City 1968,1,Italy,3,4,9,16,1968,Mexico City 1968 | Italy
Mexico City 1968,1,Yugoslavia,3,3,2,8,1968,Mexico City 1968 | Yugoslavia
Mexico City 1968,1,German Democratic Republic (Germany),9,9,7,25,1968,Mexico City 1968 | German Democratic Republic (Germany)
Mexico City 1968,1,Greece,0,0,1,1,1968,Mexico City 1968 | Greece
Grenoble 1968,0,Romania,0,0,1,1,1968,Grenoble 1968 | Romania
Mexico City 1968,1,Argentina,0,0,2,2,1968,Mexico City 1968 | Argentina
Grenoble 1968,0,Switzerland,0,2,4,6,1968,Grenoble 1968 | Switzerland
Mexico City 1968,1,Denmark,1,4,3,8,1968,Mexico City 1968 | Denmark
Grenoble 1968,0,Sweden,3,2,3,8,1968,Grenoble 1968 | Sweden
Mexico City 1968,1,France,7,3,5,15,1968,Mexico City 1968 | France
Mexico City 1968,1,Norway,1,1,0,2,1968,Mexico City 1968 | Norway
Mexico City 1968,1,Ethiopia,1,1,0,2,1968,Mexico City 1968 | Ethiopia
Mexico City 1968,1,Czechoslovakia,7,2,4,13,1968,Mexico City 1968 | Czechoslovakia
Grenoble 1968,0,Soviet Union,5,5,3,13,1968,Grenoble 1968 | Soviet Union
Mexico City 1968,1,Republic of Korea,0,1,1,2,1968,Mexico City 1968 | Republic of Korea
Mexico City 1968,1,India,0,0,1,1,1968,Mexico City 1968 | India
Mexico City 1968,1,Belgium,0,1,1,2,1968,Mexico City 1968 | Belgium
Mexico City 1968,1,Uganda,0,1,1,2,1968,Mexico City 1968 | Uganda
Mexico City 1968,1,United States of America,45,28,34,107,1968,Mexico City 1968 | United States of America
Mexico City 1968,1,Japan,11,7,7,25,1968,Mexico City 1968 | Japan
Mexico City 1968,1,Poland,5,2,11,18,1968,Mexico City 1968 | Poland
Mexico City 1968,1,Federal Republic of Germany,5,11,10,26,1968,Mexico City 1968 | Federal Republic of Germany
Grenoble 1968,0,Italy,4,0,0,4,1968,Grenoble 1968 | Italy
Grenoble 1968,0,Federal Republic of Germany,2,2,3,7,1968,Grenoble 1968 | Federal Republic of Germany
Mexico City 1968,1,Switzerland,0,1,4,5,1968,Mexico City 1968 | Switzerland
Mexico City 1968,1,Cameroon,0,1,0,1,1968,Mexico City 1968 | Cameroon
Mexico City 1968,1,Jamaica,0,1,0,1,1968,Mexico City 1968 | Jamaica
Mexico City 1968,1,Mongolia,0,1,3,4,1968,Mexico City 1968 | Mongolia
Mexico City 1968,1,Pakistan,1,0,0,1,1968,Mexico City 1968 | Pakistan
Grenoble 1968,0,United States of America,1,5,1,7,1968,Grenoble 1968 | United States of America
Mexico City 1968,1,Venezuela,1,0,0,1,1968,Mexico City 1968 | Venezuela
Mexico City 1968,1,Romania,4,6,5,15,1968,Mexico City 1968 | Romania
Mexico City 1968,1,Brazil,0,1,2,3,1968,Mexico City 1968 | Brazil
Grenoble 1968,0,Austria,3,4,4,11,1968,Grenoble 1968 | Austria
Mexico City 1968,1,Soviet Union,29,32,30,91,1968,Mexico City 1968 | Soviet Union
Grenoble 1968,0,German Democratic Republic (Germany),1,2,2,5,1968,Grenoble 1968 | German Democratic Republic (Germany)
Mexico City 1968,1,Sweden,2,1,1,4,1968,Mexico City 1968 | Sweden
Grenoble 1968,0,Norway,6,6,2,14,1968,Grenoble 1968 | Norway
Mexico City 1968,1,Kenya,3,4,2,9,1968,Mexico City 1968 | Kenya
Grenoble 1968,0,Czechoslovakia,1,2,1,4,1968,Grenoble 1968 | Czechoslovakia
Grenoble 1968,0,Finland,1,2,2,5,1968,Grenoble 1968 | Finland
Mexico City 1968,1,Finland,1,2,1,4,1968,Mexico City 1968 | Finland
Mexico City 1968,1,Islamic Republic of Iran,2,1,2,5,1968,Mexico City 1968 | Islamic Republic of Iran
Mexico City 1968,1,Mexico,3,3,3,9,1968,Mexico City 1968 | Mexico
Mexico City 1968,1,Turkey,2,0,0,2,1968,Mexico City 1968 | Turkey
Mexico City 1968,1,Austria,0,2,2,4,1968,Mexico City 1968 | Austria
Grenoble 1968,0,France,4,3,2,9,1968,Grenoble 1968 | France
Mexico City 1968,1,Netherlands,3,3,1,7,1968,Mexico City 1968 | Netherlands
Mexico City 1968,1,New Zealand,1,0,2,3,1968,Mexico City 1968 | New Zealand
Mexico City 1968,1,Canada,1,3,1,5,1968,Mexico City 1968 | Canada
Mexico City 1968,1,Bulgaria,2,4,3,9,1968,Mexico City 1968 | Bulgaria
Mexico City 1968,1,Australia,5,7,5,17,1968,Mexico City 1968 | Australia
Grenoble 1968,0,Netherlands,3,3,3,9,1968,Grenoble 1968 | Netherlands
Sapporo 1972,0,Canada,0,1,0,1,1972,Sapporo 1972 | Canada
Munich 1972,1,Belgium,0,2,0,2,1972,Munich 1972 | Belgium
Munich 1972,1,United States of America,33,31,30,94,1972,Munich 1972 | United States of America
Sapporo 1972,0,German Democratic Republic (Germany),4,3,7,14,1972,Sapporo 1972 | German Democratic Republic (Germany)
Munich 1972,1,Lebanon,0,1,0,1,1972,Munich 1972 | Lebanon
Munich 1972,1,Greece,0,2,0,2,1972,Munich 1972 | Greece
Munich 1972,1,Pakistan,0,1,0,1,1972,Munich 1972 | Pakistan
Munich 1972,1,Japan,13,8,8,29,1972,Munich 1972 | Japan
Munich 1972,1,Argentina,0,1,0,1,1972,Munich 1972 | Argentina
Munich 1972,1,German Democratic Republic (Germany),20,23,23,66,1972,Munich 1972 | German Democratic Republic (Germany)
Munich 1972,1,Republic of Korea,0,1,0,1,1972,Munich 1972 | Republic of Korea
Munich 1972,1,Mongolia,0,1,0,1,1972,Munich 1972 | Mongolia
Munich 1972,1,Australia,8,7,2,17,1972,Munich 1972 | Australia
Munich 1972,1,Sweden,4,6,6,16,1972,Munich 1972 | Sweden
Munich 1972,1,Mexico,0,1,0,1,1972,Munich 1972 | Mexico
Munich 1972,1,Kenya,2,3,4,9,1972,Munich 1972 | Kenya
Munich 1972,1,Poland,7,5,9,21,1972,Munich 1972 | Poland
Munich 1972,1,Bulgaria,6,10,5,21,1972,Munich 1972 | Bulgaria
Munich 1972,1,New Zealand,1,1,1,3,1972,Munich 1972 | New Zealand
Sapporo 1972,0,Italy,2,2,1,5,1972,Sapporo 1972 | Italy
Munich 1972,1,Great Britain,4,5,9,18,1972,Munich 1972 | Great Britain
Munich 1972,1,Niger,0,0,1,1,1972,Munich 1972 | Niger
Sapporo 1972,0,France,0,1,2,3,1972,Sapporo 1972 | France
Munich 1972,1,Spain,0,0,1,1,1972,Munich 1972 | Spain
Munich 1972,1,India,0,0,1,1,1972,Munich 1972 | India
Munich 1972,1,Yugoslavia,2,1,2,5,1972,Munich 1972 | Yugoslavia
Munich 1972,1,Democratic People's Republic of Korea,1,1,3,5,1972,Munich 1972 | Democratic People's Republic of Korea
Munich 1972,1,Colombia,0,1,2,3,1972,Munich 1972 | Colombia
Munich 1972,1,Hungary,6,13,16,35,1972,Munich 1972 | Hungary
Sapporo 1972,0,Netherlands,4,3,2,9,1972,Sapporo 1972 | Netherlands
Sapporo 1972,0,Norway,2,5,5,12,1972,Sapporo 1972 | Norway
Sapporo 1972,0,Czechoslovakia,1,0,2,3,1972,Sapporo 1972 | Czechoslovakia
Munich 1972,1,Islamic Republic of Iran,0,2,1,3,1972,Munich 1972 | Islamic Republic of Iran
Sapporo 1972,0,Austria,1,2,2,5,1972,Sapporo 1972 | Austria
Sapporo 1972,0,Finland,0,4,1,5,1972,Sapporo 1972 | Finland
Sapporo 1972,0,Switzerland,4,3,3,10,1972,Sapporo 1972 | Switzerland
Munich 1972,1,Norway,2,1,1,4,1972,Munich 1972 | Norway
Munich 1972,1,Switzerland,0,3,0,3,1972,Munich 1972 | Switzerland
Munich 1972,1,Federal Republic of Germany,13,11,16,40,1972,Munich 1972 | Federal Republic of Germany
Munich 1972,1,Austria,0,1,2,3,1972,Munich 1972 | Austria
Munich 1972,1,France,2,4,7,13,1972,Munich 1972 | France
Sapporo 1972,0,Japan,1,1,1,3,1972,Sapporo 1972 | Japan
Munich 1972,1,Ghana,0,0,1,1,1972,Munich 1972 | Ghana
Munich 1972,1,Denmark,1,0,0,1,1972,Munich 1972 | Denmark
Munich 1972,1,Czechoslovakia,2,4,2,8,1972,Munich 1972 | Czechoslovakia
Munich 1972,1,Uganda,1,1,0,2,1972,Munich 1972 | Uganda
Munich 1972,1,Cuba,3,1,4,8,1972,Munich 1972 | Cuba
Munich 1972,1,Finland,3,1,4,8,1972,Munich 1972 | Finland
Sapporo 1972,0,United States of America,3,2,3,8,1972,Sapporo 1972 | United States of America
Munich 1972,1,Romania,3,6,7,16,1972,Munich 1972 | Romania
Munich 1972,1,Tunisia,0,1,0,1,1972,Munich 1972 | Tunisia
Sapporo 1972,0,Soviet Union,8,5,3,16,1972,Sapporo 1972 | Soviet Union
Munich 1972,1,Ethiopia,0,0,2,2,1972,Munich 1972 | Ethiopia
Munich 1972,1,Brazil,0,0,2,2,1972,Munich 1972 | Brazil
Sapporo 1972,0,Federal Republic of Germany,3,1,1,5,1972,Sapporo 1972 | Federal Republic of Germany
Munich 1972,1,Soviet Union,50,27,22,99,1972,Munich 1972 | Soviet Union
Munich 1972,1,Canada,0,2,3,5,1972,Munich 1972 | Canada
Munich 1972,1,Jamaica,0,0,1,1,1972,Munich 1972 | Jamaica
Munich 1972,1,Netherlands,3,1,1,5,1972,Munich 1972 | Netherlands
Munich 1972,1,Turkey,0,1,0,1,1972,Munich 1972 | Turkey
Munich 1972,1,Nigeria,0,0,1,1,1972,Munich 1972 | Nigeria
Munich 1972,1,Italy,5,3,10,18,1972,Munich 1972 | Italy
Sapporo 1972,0,Spain,1,0,0,1,1972,Sapporo 1972 | Spain
Sapporo 1972,0,Sweden,1,1,2,4,1972,Sapporo 1972 | Sweden
Sapporo 1972,0,Poland,1,0,0,1,1972,Sapporo 1972 | Poland
Montreal 1976,1,Federal Republic of Germany,10,12,17,39,1976,Montreal 1976 | Federal Republic of Germany
