games,summer,team,gold,silver,bronze,total,year,games_team
Antwerp 1920,1,Australia,0,2,1,3,1920,Antwerp 1920 | Australia
Antwerp 1920,1,Finland,15,10,9,34,1920,Antwerp 1920 | Finland
Antwerp 1920,1,United States of America,41,27,27,95,1920,Antwerp 1920 | United States of America
Antwerp 1920,1,Canada,3,3,3,9,1920,Antwerp 1920 | Canada
Antwerp 1920,1,New Zealand,0,0,1,1,1920,Antwerp 1920 | New Zealand
Antwerp 1920,1,Norway,13,10,9,32,1920,Antwerp 1920 | Norway
Antwerp 1920,1,Great Britain,14,16,13,43,1920,Antwerp 1920 | Great Britain
Antwerp 1920,1,Brazil,1,1,1,3,1920,Antwerp 1920 | Brazil
Antwerp 1920,1,France,9,20,13,42,1920,Antwerp 1920 | France
Antwerp 1920,1,Spain,0,2,0,2,1920,Antwerp 1920 | Spain
Antwerp 1920,1,Japan,0,2,0,2,1920,Antwerp 1920 | Japan
Antwerp 1920,1,Estonia,1,2,0,3,1920,Antwerp 1920 | Estonia
Antwerp 1920,1,Greece,0,1,0,1,1920,Antwerp 1920 | Greece
Antwerp 1920,1,Denmark,3,9,1,13,1920,Antwerp 1920 | Denmark
Antwerp 1920,1,Netherlands,4,2,5,11,1920,Antwerp 1920 | Netherlands
Antwerp 1920,1,Czechoslovakia,0,0,2,2,1920,Antwerp 1920 | Czechoslovakia
Antwerp 1920,1,Switzerland,2,2,7,11,1920,Antwerp 1920 | Switzerland
Antwerp 1920,1,Italy,14,6,5,25,1920,Antwerp 1920 | Italy
Antwerp 1920,1,Belgium,16,12,14,42,1920,Antwerp 1920 | Belgium
Antwerp 1920,1,South Africa,3,4,3,10,1920,Antwerp 1920 | South Africa
Antwerp 1920,1,Sweden,19,20,25,64,1920,Antwerp 1920 | Sweden
Antwerp 1920,1,Luxembourg,0,1,0,1,1920,Antwerp 1920 | Luxembourg
Chamonix 1924,0,MIX,1,0,0,1,1924,Chamonix 1924 | MIX
Chamonix 1924,0,Canada,1,0,0,1,1924,Chamonix 1924 | Canada
Paris 1924,1,Argentina,1,3,2,6,1924,Paris 1924 | Argentina
Chamonix 1924,0,Sweden,1,1,0,2,1924,Chamonix 1924 | Sweden
Paris 1924,1,Australia,3,1,2,6,1924,Paris 1924 | Australia
Paris 1924,1,Switzerland,7,8,10,25,1924,Paris 1924 | Switzerland
Paris 1924,1,Greece,1,0,0,1,1924,Paris 1924 | Greece
Paris 1924,1,Sweden,4,13,12,29,1924,Paris 1924 | Sweden
Paris 1924,1,Uruguay,1,0,0,1,1924,Paris 1924 | Uruguay
Paris 1924,1,Estonia,1,1,4,6,1924,Paris 1924 | Estonia
Paris 1924,1,Yugoslavia,2,0,0,2,1924,Paris 1924 | Yugoslavia
Paris 1924,1,Luxembourg,1,1,0,2,1924,Paris 1924 | Luxembourg
Paris 1924,1,Czechoslovakia,1,4,5,10,1924,Paris 1924 | Czechoslovakia
Paris 1924,1,Japan,0,0,1,1,1924,Paris 1924 | Japan
Chamonix 1924,0,Belgium,0,0,1,1,1924,Chamonix 1924 | Belgium
Paris 1924,1,France,14,15,12,41,1924,Paris 1924 | France
Paris 1924,1,Hungary,2,4,4,10,1924,Paris 1924 | Hungary
